facility_id,facility_type,total_area_sqft,total_floors
F-0937,Lodging/residential,10346,7
F-0938,Lodging/residential,11227,7
F-0939,Lodging/residential,8051,7
F-0940,Lodging/residential,8079,7
F-0941,Lodging/residential,8079,7
F-0942,Lodging/residential,57334,7
F-0943,Entertainment/public assembly,5682,1
F-0944,Services,389641,1
F-0945,Office,332447,2
F-0946,Education,177216,4
F-0947,Education,91629,4
F-0948,Entertainment/public assembly,20372,1
F-0949,Lodging/residential,86786,7
F-0950,Entertainment/public assembly,16052,1
F-0951,Office,103924,2
F-0952,Education,218024,4
F-0953,Entertainment/public assembly,563782,1
F-0954,Education,305224,4
F-0955,Education,198488,4
F-0956,Office,86167,2
F-0957,Education,111195,4
F-0958,Entertainment/public assembly,234819,1
F-0959,Education,128536,4
F-0960,Education,56137,4
F-0961,Education,155882,4
F-0962,Public services,492898,1
F-0963,Lodging/residential,44784,7
F-0964,Education,130577,4
F-0965,Lodging/residential,45086,7
F-0966,Education,393530,4
F-0967,Entertainment/public assembly,119262,1
F-0968,Education,153999,4
F-0969,Education,193723,4
F-0970,Services,346056,1
F-0971,Lodging/residential,301307,7
F-0972,Education,282152,4
F-0973,Office,193960,2
F-0974,Education,186572,4
F-0975,Entertainment/public assembly,426472,1
F-0976,Education,59498,4
F-0977,Office,8837,2
F-0978,Education,258491,4
F-0979,Entertainment/public assembly,52357,1
F-0980,Entertainment/public assembly,34819,1
F-0981,Education,167055,4
F-0982,Services,373416,1
F-0983,Entertainment/public assembly,122122,1
F-0984,Services,214252,1
F-0985,Office,34758,2
F-0986,Office,34072,2
F-0987,Education,166395,4
F-0988,Office,24463,2
F-0989,Education,168696,4
F-0990,Office,82939,2
F-0991,Education,57811,4
F-0992,Office,51483,2
F-0993,Education,428647,4
F-0994,Education,108392,4
F-0995,Education,46230,4
F-0996,Education,77632,4
F-0997,Office,38173,2
F-0998,Education,173479,1
F-0999,Education,113580,2
F-1000,Education,121146,2
F-1001,Other,4482,1
F-1002,Entertainment/public assembly,161969,1
F-1003,Education,94751,3
F-1004,Education,74886,2
F-1005,Office,26325,1
F-1006,Office,26948,1
F-1007,Office,41933,2
F-1008,Education,74420,2
F-1009,Education,21892,2
F-1010,Office,11419,1
F-1011,Education,65144,4
F-1012,Education,23112,2
F-1013,Education,67377,3
F-1014,Office,43094,3
F-1015,Other,4607,1
F-1016,Other,10103,1
F-1017,Technology/science,109263,6
F-1018,Education,186840,2
F-1019,Entertainment/public assembly,39788,5
F-1020,Entertainment/public assembly,22101,2
F-1021,Entertainment/public assembly,213762,2
F-1022,Education,84346,2
F-1023,Education,87976,2
F-1024,Education,53855,2
F-1025,Lodging/residential,52034,2
F-1026,Lodging/residential,88480,1
F-1027,Lodging/residential,35465,2
F-1028,Education,81390,4
F-1029,Education,152559,4
F-1030,Education,68030,4
F-1031,Education,93206,4
F-1032,Education,127632,4
F-1033,Education,118489,4
F-1034,Retail,3907,1
F-1035,Office,14585,2
F-1036,Office,54207,2
F-1037,Education,8805,4
F-1038,Technology/science,9838,5
F-1039,Education,30171,3
F-1040,Office,126960,2
F-1041,Education,8073,4
F-1042,Office,29547,2
F-1043,Office,27889,2
F-1044,Education,150673,4
F-1045,Office,33530,2
F-1046,Education,201350,4
F-1047,Public services,252952,1
F-1048,Education,275610,4
F-1049,Education,94399,4
F-1050,Office,50493,2
F-1051,Education,28406,1
F-1052,Retail,45305,2
F-1053,Office,21582,2
F-1054,Education,204998,4
F-1055,Education,86714,4
F-1056,Education,72958,4
F-1057,Education,26372,4
F-1058,Education,84346,4
F-1059,Entertainment/public assembly,116186,1
F-1060,Entertainment/public assembly,71806,1
F-1061,Retail,44218,1
F-1062,Education,65843,4
F-1063,Education,58157,4
F-1064,Education,131212,4
F-1065,Office,12152,2
F-1066,Education,55800,4
F-1067,Education,125701,4
F-1068,Education,112956,4
F-1069,Office,20864,2
F-1070,Lodging/residential,230747,7
F-1071,Office,10385,2
F-1072,Healthcare,305000,1
F-1073,Office,194111,2
F-1074,Office,89858,2
F-1075,Office,72709,2
F-1076,Lodging/residential,117054,7
F-1077,Entertainment/public assembly,19454,1
F-1078,Entertainment/public assembly,80438,1
F-1079,Education,14185,4
F-1080,Education,207115,4
F-1081,Manufacturing/industrial,11470,2
F-1082,Office,57394,2
F-1083,Education,100813,4
F-1084,Office,122922,2
F-1085,Education,58377,4
F-1086,Office,143973,2
F-1087,Office,56569,2
F-1088,Education,287594,4
F-1089,Office,62837,2
F-1090,Office,305047,2
F-1091,Lodging/residential,233341,7
F-1092,Office,105167,2
F-1093,Office,47578,2
F-1094,Office,70852,2
F-1095,Education,32256,4
F-1096,Parking,83772,2
F-1097,Office,157545,2
F-1098,Office,131745,2
F-1099,Education,332884,4
F-1100,Lodging/residential,174924,7
F-1101,Office,71936,2
F-1102,Office,87187,2
F-1103,Other,23903,1
F-1104,Public services,199722,1
F-1105,Food sales and service,33215,1
F-1106,Office,92099,2
F-1107,Education,184098,4
F-1108,Parking,679614,2
F-1109,Office,102191,2
F-1110,Office,27145,2
F-1111,Office,67839,2
F-1112,Office,190471,2
F-1113,Office,33401,2
F-1114,Other,64810,1
F-1115,Services,42028,1
F-1116,Services,11681,1
F-1117,Office,111424,2
F-1118,Services,26926,1
F-1119,Office,119509,2
F-1120,Services,70040,1
F-1121,Education,85732,4
F-1122,Office,84365,2
F-1123,Office,92994,2
F-1124,Lodging/residential,153299,7
F-1125,Parking,271492,2
F-1126,Education,72332,4
F-1127,Office,87131,2
F-1128,Office,58703,2
F-1129,Office,133100,2
F-1130,Education,280225,4
F-1131,Office,25463,2
F-1132,Office,103926,2
F-1133,Office,82302,2
F-1134,Office,152946,2
F-1135,Education,150393,4
F-1136,Office,79782,2
F-1137,Office,27452,2
F-1138,Education,39988,4
F-1139,Office,336650,2
F-1140,Education,156483,4
F-1141,Parking,20986,2
F-1142,Office,103718,2
F-1143,Office,96612,2
F-1144,Office,152312,2
F-1145,Manufacturing/industrial,35201,2
F-1146,Public services,83155,1
F-1147,Entertainment/public assembly,234476,1
F-1148,Office,861524,2
F-1149,Office,293990,2
F-1150,Office,196043,2
F-1151,Office,267536,2
F-1152,Office,118858,2
F-1153,Technology/science,89456,5
F-1154,Lodging/residential,262156,7
F-1155,Warehouse/storage,19059,1
F-1156,Education,259989,4
F-1157,Education,37107,4
F-1158,Public services,294812,1
F-1159,Office,671507,2
F-1160,Office,80205,2
F-1161,Office,53077,2
F-1162,Office,72958,2
F-1163,Parking,83919,2
F-1164,Office,249457,2
F-1165,Office,28991,2
F-1166,Office,63771,2
F-1167,Office,52748,2
F-1168,Office,577101,2
F-1169,Education,155439,4
F-1170,Office,59476,2
F-1171,Manufacturing/industrial,56851,2
F-1172,Manufacturing/industrial,63847,2
F-1173,Manufacturing/industrial,13091,2
F-1174,Other,27648,1
F-1175,Manufacturing/industrial,81372,2
F-1176,Education,142672,4
F-1177,Office,20444,2
F-1178,Education,133072,4
F-1179,Entertainment/public assembly,143228,1
F-1180,Education,95182,4
F-1181,Education,60606,4
F-1182,Warehouse/storage,66585,1
F-1183,Entertainment/public assembly,166856,1
F-1184,Lodging/residential,74584,7
F-1185,Office,129532,2
F-1186,Lodging/residential,157070,7
F-1187,Office,121714,2
F-1188,Office,37096,2
F-1189,Office,98212,2
F-1190,Office,39807,2
F-1191,Education,192152,4
F-1192,Office,43587,2
F-1193,Office,106511,2
F-1194,Office,35829,2
F-1195,Office,16472,2
F-1196,Entertainment/public assembly,57201,1
F-1197,Services,50552,1
F-1198,Education,85164,4
F-1199,Warehouse/storage,10559,1
F-1200,Entertainment/public assembly,545351,1
F-1201,Education,73597,4
F-1202,Office,16805,2
F-1203,Lodging/residential,138602,7
F-1204,Office,38382,2
F-1205,Parking,178270,2
F-1206,Office,99946,2
F-1207,Healthcare,74443,1
F-1208,Healthcare,121585,1
F-1209,Healthcare,115788,1
F-1210,Office,92500,2
F-1211,Office,94988,2
F-1212,Public services,237518,1
F-1213,Warehouse/storage,39464,1
F-1214,Office,195437,2
F-1215,Parking,100328,2
F-1216,Office,15269,2
F-1217,Education,73044,4
F-1218,Entertainment/public assembly,268480,1
F-1219,Office,91316,2
F-1220,Public services,381221,1
F-1221,Office,29062,2
F-1222,Lodging/residential,187174,7
F-1223,Office,52141,2
F-1224,Office,23481,2
F-1225,Office,122746,2
F-1226,Education,27995,4
F-1227,Education,76903,4
F-1228,Office,162549,2
F-1229,Office,27646,2
F-1230,Office,22524,2
F-1231,Education,13220,4
F-1232,Education,181328,4
F-1233,Education,43143,4
F-1234,Education,46037,4
F-1235,Public services,278369,1
F-1236,Office,61756,2
F-1237,Office,42755,2
F-1238,Office,129707,2
F-1239,Office,31300,2
F-1240,Public services,73277,1
F-1241,Healthcare,194188,1
F-1242,Office,23871,2
F-1243,Healthcare,237704,1
F-1244,Public services,95526,1
F-1245,Healthcare,35354,1
F-1246,Office,50327,2
F-1247,Food sales and service,69876,1
F-1248,Office,78002,2
F-1249,Office,159384,2
F-1250,Education,232139,4
F-1251,Education,104604,4
F-1252,Education,116249,4
F-1253,Education,134748,4
F-1254,Education,24979,4
F-1255,Office,23702,2
F-1256,Office,37917,2
F-1257,Office,61274,2
F-1258,Education,273234,4
F-1259,Education,71088,4
F-1260,Office,86455,2
F-1261,Office,42942,2
F-1262,Office,65000,2
F-1263,Education,97838,4
F-1264,Education,33012,4
F-1265,Food sales and service,35605,1
F-1266,Public services,13469,1
F-1267,Education,138977,4
F-1268,Office,43007,2
F-1269,Healthcare,56388,1
F-1270,Entertainment/public assembly,18551,1
F-1271,Public services,20540,1
F-1272,Public services,247471,1
F-1273,Office,104089,2
F-1274,Office,17077,2
F-1275,Office,114166,2
F-1276,Office,53860,2
F-1277,Office,45240,2
F-1278,Education,79949,4
F-1279,Office,64743,2
F-1280,Lodging/residential,79900,7
F-1281,Office,103138,2
F-1282,Healthcare,12500,1
F-1283,Public services,76537,1
F-1284,Education,442438,4
F-1285,Healthcare,130067,1
F-1286,Healthcare,205472,1
F-1287,Education,60582,4
F-1288,Education,164206,4
F-1289,Education,194441,4
F-1290,Education,200442,4
F-1291,Office,237546,2
F-1292,Office,58196,2
F-1293,Office,51471,2
F-1294,Office,15649,2
F-1295,Office,115676,2
F-1296,Office,8836,2
F-1297,Office,21469,2
F-1298,Education,171084,4
F-1299,Education,25401,4
F-1300,Healthcare,25609,1
F-1301,Education,62242,4
F-1302,Office,90411,2
F-1303,Healthcare,200000,1
F-1304,Office,91363,2
F-1305,Lodging/residential,37803,7
F-1306,Lodging/residential,54172,7
F-1307,Lodging/residential,66013,7
F-1308,Lodging/residential,62279,7
F-1309,Lodging/residential,58041,7
F-1310,Lodging/residential,57274,7
F-1311,Lodging/residential,66794,7
F-1312,Lodging/residential,75000,7
F-1313,Healthcare,68637,1
F-1314,Education,73813,4
F-1315,Entertainment/public assembly,82789,1
F-1316,Entertainment/public assembly,49975,1
F-1317,Entertainment/public assembly,180806,1
F-1318,Entertainment/public assembly,73488,1
F-1319,Entertainment/public assembly,287419,1
F-1320,Entertainment/public assembly,34565,1
F-1321,Entertainment/public assembly,370024,1
F-1322,Entertainment/public assembly,166489,1
F-1323,Office,87200,2
F-1324,Entertainment/public assembly,84688,1
F-1325,Entertainment/public assembly,155177,1
F-1326,Office,46981,2
F-1327,Education,98125,4
F-1328,Education,279840,4
F-1329,Technology/science,60100,5
F-1330,Education,173983,4
F-1331,Education,171008,4
F-1332,Education,47398,4
F-1333,Office,31316,2
F-1334,Office,130794,2
F-1335,Public services,136817,1
F-1336,Office,31053,2
F-1337,Office,14744,2
F-1338,Education,31415,4
F-1339,Education,140488,4
F-1340,Manufacturing/industrial,111518,2
F-1341,Education,18342,4
F-1342,Education,116854,4
F-1343,Office,110380,2
F-1344,Education,125507,4
F-1345,Education,20889,4
F-1346,Education,34875,4
F-1347,Education,322341,4
F-1348,Education,131271,4
F-1349,Manufacturing/industrial,7919,2
F-1350,Education,149762,4
F-1351,Office,40611,2
F-1352,Office,42755,2
F-1353,Religious worship,22201,1
F-1354,Education,23232,4
F-1355,Education,50567,4
F-1356,Education,91253,4
F-1357,Office,21618,2
F-1358,Lodging/residential,61439,7
F-1359,Education,124289,4
F-1360,Entertainment/public assembly,111530,1
F-1361,Education,233863,4
F-1362,Education,113988,4
F-1363,Office,157933,2
F-1364,Utility,74922,2
F-1365,Lodging/residential,129664,7
F-1366,Office,87977,2
F-1367,Education,33695,4
F-1368,Entertainment/public assembly,199037,1
F-1369,Entertainment/public assembly,53194,1
F-1370,Education,4773,4
F-1371,Public services,50577,1
F-1372,Education,16289,4
F-1373,Education,105434,4
F-1374,Office,159662,2
F-1375,Office,115288,2
F-1376,Public services,240026,1
F-1377,Education,74599,4
F-1378,Education,214505,4
F-1379,Office,49553,2
F-1380,Education,204029,4
F-1381,Office,84615,2
F-1382,Public services,243072,1
F-1383,Education,105612,4
F-1384,Education,56969,4
F-1385,Education,124521,4
F-1386,Entertainment/public assembly,82035,1
F-1387,Office,187041,2
F-1388,Healthcare,45465,1
F-1389,Entertainment/public assembly,17104,1
F-1390,Entertainment/public assembly,93608,1
F-1391,Entertainment/public assembly,68693,1
F-1392,Entertainment/public assembly,76153,1
F-1393,Entertainment/public assembly,151900,1
F-1394,Entertainment/public assembly,16351,1
F-1395,Lodging/residential,98624,7
F-1396,Lodging/residential,96336,7
F-1397,Lodging/residential,19984,7
F-1398,Lodging/residential,20291,7
F-1399,Lodging/residential,166814,7
F-1400,Lodging/residential,21168,7
F-1401,Lodging/residential,168791,7
F-1402,Lodging/residential,133594,7
F-1403,Lodging/residential,78438,7
F-1404,Lodging/residential,169290,7
F-1405,Lodging/residential,142901,7
F-1406,Lodging/residential,136522,7
F-1407,Lodging/residential,83141,7
F-1408,Entertainment/public assembly,28760,1
F-1409,Lodging/residential,48881,7
F-1410,Office,11524,2
F-1411,Education,9111,4
F-1412,Lodging/residential,39538,7
F-1413,Lodging/residential,65999,7
F-1414,Lodging/residential,65663,7
F-1415,Lodging/residential,40492,7
F-1416,Lodging/residential,41236,7
F-1417,Lodging/residential,40451,7
F-1418,Lodging/residential,41302,7
F-1419,Lodging/residential,40629,7
F-1420,Entertainment/public assembly,95079,1
F-1421,Education,47934,4
F-1422,Lodging/residential,19876,7
F-1423,Lodging/residential,18277,7
F-1424,Lodging/residential,24103,7
F-1425,Utility,4071,2
F-1426,Entertainment/public assembly,15450,1
F-1427,Education,180625,4
F-1428,Education,28432,4
F-1429,Education,40461,4
F-1430,Office,53303,2
F-1431,Public services,111360,1
F-1432,Education,160673,4
F-1433,Education,28084,4
F-1434,Education,33148,4
F-1435,Education,9552,4
F-1436,Manufacturing/industrial,11302,2
F-1437,Education,111518,4
F-1438,Education,108971,4
F-1439,Education,56497,4
F-1440,Lodging/residential,150294,7
F-1441,Education,30143,4
F-1442,Public services,99541,1
F-1443,Education,40311,4
F-1444,Entertainment/public assembly,19619,1
F-1445,Education,4298,4
F-1446,Entertainment/public assembly,11265,1
F-1447,Lodging/residential,29775,7
F-1448,Office,92271,2
